param_C,param_gamma,param_kernel,params,mean_test_score,std_test_score,mean_train_score,std_train_score,concatenated_category,concatenated_factorized
0.01,auto,linear,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.8823308270676691,0.03751223358512254,0.8884994060672515,0.006365927696836002,"auto, linear, 0.01",3
0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.8911027568922305,0.038151463915632206,0.8959193774366472,0.004085058996285088,"auto, linear, 0.1",9
1,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.9104010025062657,0.028692363764048406,0.9152507462231968,0.0026546252386232933,"auto, linear, 1",15
10,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.9261904761904762,0.029133384471094946,0.92931020041423,0.0036938304298935825,"auto, linear, 10",21
100,auto,linear,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.9349624060150376,0.024902054350039445,0.9388793707358675,0.0043680265162121005,"auto, linear, 100",27
0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, rbf, 0.01",4
0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8980263157894737,0.03230837034098886,0.9076362238060429,0.004169921136276442,"auto, rbf, 0.1",10
1,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8963032581453634,0.02984094503766931,0.9113460191276802,0.004008161661721871,"auto, rbf, 1",16
10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.8980263157894737,0.03759222270305698,0.9173984222709551,0.006830733120680121,"auto, rbf, 10",22
100,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.9032268170426064,0.03829557583797056,0.9484473988791423,0.003927814384878607,"auto, rbf, 100",28
0.01,auto,sigmoid,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, sigmoid, 0.01",5
0.1,auto,sigmoid,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, sigmoid, 0.1",11
1,auto,sigmoid,"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, sigmoid, 1",17
10,auto,sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, sigmoid, 10",23
100,auto,sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"auto, sigmoid, 100",29
0.01,scale,linear,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.8823308270676691,0.03751223358512254,0.8884994060672515,0.006365927696836002,"scale, linear, 0.01",0
0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8911027568922305,0.038151463915632206,0.8959193774366472,0.004085058996285088,"scale, linear, 0.1",6
1,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.9104010025062657,0.028692363764048406,0.9152507462231968,0.0026546252386232933,"scale, linear, 1",12
10,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.9261904761904762,0.029133384471094946,0.92931020041423,0.0036938304298935825,"scale, linear, 10",18
100,scale,linear,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.9349624060150376,0.024902054350039445,0.9388793707358675,0.0043680265162121005,"scale, linear, 100",24
0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"scale, rbf, 0.01",1
0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8523809523809524,0.023735539981046265,0.8560824805068226,0.00351114323073568,"scale, rbf, 0.1",7
1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8928258145363408,0.030744704881054335,0.8988479227582846,0.006639725969726688,"scale, rbf, 1",13
10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.89984335839599,0.04296712033787239,0.9064635873538013,0.004975264050447298,"scale, rbf, 10",19
100,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.9033208020050125,0.03868310635723613,0.9119315759015594,0.003072423491668497,"scale, rbf, 100",25
0.01,scale,sigmoid,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"scale, sigmoid, 0.01",2
0.1,scale,sigmoid,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6274122807017544,0.006965956216784447,0.6274164686890839,0.0007753271285927558,"scale, sigmoid, 0.1",8
1,scale,sigmoid,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.38298872180451127,0.04253025803073032,0.38117728131091616,0.003947644206512296,"scale, sigmoid, 1",14
10,scale,sigmoid,"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.29154135338345866,0.05977065949619172,0.29427997076023393,0.005737481047744587,"scale, sigmoid, 10",20
100,scale,sigmoid,"{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.2827694235588972,0.05994511893232868,0.28666240253411307,0.003653049253909244,"scale, sigmoid, 100",26
